@relation 'baseball_trim-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R9,44-weka.filters.unsupervised.attribute.Remove-R16,30-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-V-R13,18,19,22,29,30,31,42,43,44,last'

@attribute AOBP numeric
@attribute HRBI numeric
@attribute HBB numeric
@attribute HGO numeric
@attribute HER numeric
@attribute HPBB numeric
@attribute HPHBP numeric
@attribute HE numeric
@attribute HSB numeric
@attribute HCS numeric
@attribute Winner {Away,Home,Draw}

@data
-0.203947,1.185997,2.37831,0.915327,1.194467,1.51447,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,-1.153448,-0.358571,-1.107397,-0.775107,-1.163604,-0.677762,-0.764255,1.568098,1.443539,Away
-0.203947,-1.153448,-1.727011,0.106237,1.194467,0.621779,0.604189,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.308705,-0.814718,1.319871,1.475835,0.621779,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.568587,0.097576,-1.107397,-0.775107,0.621779,-0.677762,0.307566,3.825059,3.387414,Home
-0.203947,-0.568587,0.097576,-0.702853,0.350364,0.621779,-0.677762,-0.764255,-0.688864,1.443539,Away
-0.203947,1.185997,0.097576,0.915327,0.631732,0.175433,-0.677762,1.379386,-0.688864,-0.500337,Home
-0.203947,0.016274,1.466016,1.319871,0.913099,0.621779,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.861018,0.097576,0.510782,1.757202,1.068125,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.276156,-0.358571,0.510782,0.068996,1.068125,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.276156,-1.270865,-0.702853,2.882673,-0.270912,0.604189,1.379386,0.439617,1.443539,Away
-0.203947,0.308705,-0.814718,-1.511942,0.068996,0.621779,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,0.308705,0.097576,-1.107397,-0.493739,0.175433,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,0.601136,0.553723,-0.702853,5.414982,1.51447,1.886139,-0.764255,-0.688864,-0.500337,Away
-0.203947,2.063289,0.553723,-0.298308,0.913099,-0.270912,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,-1.153448,-0.358571,-0.702853,-1.337842,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,3.525442,2.37831,0.510782,-0.775107,-1.163604,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.861018,0.097576,-0.298308,-0.212371,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.893566,0.097576,0.915327,0.631732,1.960816,0.604189,1.379386,0.439617,-0.500337,Home
-0.203947,-0.861018,-0.358571,-1.511942,0.350364,0.621779,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.308705,-1.270865,0.915327,0.068996,-0.717258,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,-0.276156,0.097576,-0.702853,2.319938,0.621779,3.16809,0.307566,-0.688864,1.443539,Away
-0.203947,0.601136,1.922163,-0.702853,0.068996,-0.270912,0.604189,2.451207,0.439617,1.443539,Away
-0.203947,0.016274,-0.358571,0.106237,0.913099,-0.717258,0.604189,-0.764255,0.439617,-0.500337,Away
-0.203947,-0.861018,0.553723,0.106237,-1.056475,-1.163604,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,0.893566,0.097576,0.106237,-0.775107,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.893566,-0.358571,0.106237,0.350364,-0.270912,0.604189,2.451207,0.439617,-0.500337,Home
-0.203947,-1.153448,-0.358571,-0.298308,0.350364,-0.270912,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,1.770858,-0.814718,-0.702853,0.350364,1.068125,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.601136,1.466016,-1.107397,-0.493739,-0.270912,-0.677762,-0.764255,0.439617,1.443539,Home
-0.203947,-1.153448,0.553723,0.915327,0.631732,0.621779,1.886139,0.307566,-0.688864,-0.500337,Away
4.894718,-0.861018,1.009869,0.106237,-1.337842,-1.163604,-0.677762,-0.764255,1.568098,-0.500337,Home
-0.203947,-0.861018,0.553723,-0.298308,-1.056475,-0.717258,-0.677762,0.307566,2.696578,-0.500337,Home
-0.203947,-0.568587,-1.727011,1.724416,-0.775107,-1.163604,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,0.308705,0.097576,1.724416,-1.337842,-0.270912,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,1.185997,-0.814718,-1.107397,0.350364,-0.270912,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.861018,0.097576,-0.702853,-1.056475,0.621779,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,0.601136,-0.814718,-0.702853,-0.212371,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
4.894718,1.770858,0.097576,-0.298308,0.350364,-0.270912,-0.677762,1.379386,0.439617,1.443539,Home
-0.203947,0.016274,0.097576,-0.702853,1.757202,2.407162,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.016274,-0.358571,-1.107397,-1.056475,-0.270912,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,-1.445879,-1.270865,2.128961,0.068996,-0.717258,4.45004,0.307566,0.439617,1.443539,Away
-0.203947,0.016274,1.009869,0.915327,1.757202,1.960816,0.604189,1.379386,0.439617,-0.500337,Away
4.894718,0.601136,1.009869,-1.916487,-0.212371,-0.717258,0.604189,-0.764255,1.568098,-0.500337,Home
-0.203947,0.601136,0.097576,0.106237,-0.775107,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.568587,0.097576,-0.298308,1.757202,0.175433,1.886139,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.276156,0.097576,-0.298308,0.068996,1.068125,-0.677762,-0.764255,-0.688864,3.387414,Away
-0.203947,0.308705,1.922163,-0.298308,-0.493739,0.175433,-0.677762,0.307566,2.696578,1.443539,Home
-0.203947,-0.276156,-1.270865,0.106237,-0.775107,0.621779,-0.677762,-0.764255,0.439617,1.443539,Home
-0.203947,0.016274,-1.270865,-0.298308,2.319938,-0.717258,0.604189,-0.764255,1.568098,-0.500337,Away
-0.203947,0.308705,0.097576,-0.702853,-0.775107,0.175433,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,0.016274,0.097576,1.724416,1.475835,-1.163604,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.276156,0.097576,0.106237,-1.337842,-1.609949,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,-0.276156,1.009869,1.319871,-0.775107,-1.163604,-0.677762,1.379386,0.439617,-0.500337,Home
-0.203947,1.478428,0.097576,-0.702853,-1.337842,-0.270912,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.308705,-0.358571,1.724416,0.068996,-0.717258,3.16809,0.307566,-0.688864,-0.500337,Home
-0.203947,0.016274,1.009869,-1.511942,1.194467,0.621779,1.886139,-0.764255,-0.688864,3.387414,Away
-0.203947,-0.861018,-1.270865,-1.107397,-1.056475,-1.163604,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,-0.568587,-0.358571,0.106237,2.03857,-0.717258,0.604189,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.568587,0.097576,0.510782,-0.493739,-0.717258,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.861018,-0.358571,-0.298308,0.068996,0.621779,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.861018,0.553723,-0.702853,0.631732,0.175433,-0.677762,-0.764255,-0.688864,1.443539,Away
-0.203947,-0.568587,1.009869,0.510782,0.350364,-0.270912,1.886139,0.307566,-0.688864,-0.500337,Away
-0.203947,0.308705,-0.358571,-1.511942,2.601306,1.960816,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,0.893566,0.097576,0.106237,-0.212371,0.621779,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,-0.276156,0.553723,-2.321032,0.068996,0.175433,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-1.153448,0.097576,-0.298308,-0.212371,1.51447,-0.677762,-0.764255,-0.688864,1.443539,Away
-0.203947,-0.861018,-0.814718,-1.107397,-0.775107,0.621779,-0.677762,1.379386,0.439617,-0.500337,Home
-0.203947,0.016274,-1.270865,0.510782,-1.337842,0.621779,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,0.893566,0.553723,-0.702853,1.475835,1.068125,0.604189,1.379386,1.568098,-0.500337,Away
-0.203947,1.185997,-0.814718,-0.298308,0.350364,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
4.894718,0.893566,0.097576,-0.702853,-0.493739,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-1.153448,-1.727011,-1.916487,0.350364,-0.270912,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,0.601136,-1.727011,-1.107397,1.757202,-0.270912,1.886139,1.379386,1.568098,-0.500337,Away
4.894718,0.308705,0.097576,0.510782,0.068996,1.960816,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.276156,-1.727011,0.915327,-0.212371,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.276156,0.097576,0.915327,-1.056475,-1.609949,-0.677762,-0.764255,2.696578,-0.500337,Home
-0.203947,0.016274,-0.358571,0.106237,-0.775107,-1.163604,-0.677762,-0.764255,0.439617,1.443539,Home
-0.203947,-0.568587,0.097576,-0.298308,-0.493739,0.621779,-0.677762,0.307566,0.439617,-0.500337,Home
