@relation 'baseball_trim-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R9,44-weka.filters.unsupervised.attribute.Remove-R16,30-weka.filters.unsupervised.attribute.Standardize'

@attribute ﻿AAB numeric
@attribute AGDP numeric
@attribute ALOB numeric
@attribute AER numeric
@attribute AS numeric
@attribute AIR numeric
@attribute AIS numeric
@attribute AWP numeric
@attribute AA numeric
@attribute AE numeric
@attribute ASB numeric
@attribute ACS numeric
@attribute AOBP numeric
@attribute HTPA numeric
@attribute HAB numeric
@attribute HH numeric
@attribute HHR numeric
@attribute HRBI numeric
@attribute HBB numeric
@attribute HHBP numeric
@attribute HSO numeric
@attribute HGO numeric
@attribute HFO numeric
@attribute HPIT numeric
@attribute HGDP numeric
@attribute HLOB numeric
@attribute HTBF numeric
@attribute HHT numeric
@attribute HER numeric
@attribute HPBB numeric
@attribute HPHBP numeric
@attribute HK numeric
@attribute HPHR numeric
@attribute HPGO numeric
@attribute HPFO numeric
@attribute HPPIT numeric
@attribute HS numeric
@attribute HIR numeric
@attribute HIS numeric
@attribute HWP numeric
@attribute HA numeric
@attribute HE numeric
@attribute HSB numeric
@attribute HCS numeric
@attribute HOBP numeric
@attribute Winner {Away,Home,Draw}

@data

-0.061322,-0.933602,-0.401504,0.681079,-0.07432,0.905093,1.978621,0.745293,1.377373,1.679683,-0.632404,1.471257,-0.203947,1.074156,0.29336,0.722069,0.083432,1.185997,2.37831,-0.65879,-0.595076,0.915327,-0.683981,0.507393,0.259149,0.356283,0.343361,-0.142331,1.194467,1.51447,-0.677762,-0.779617,1.850734,-0.077643,0.315554,0.303883,0.018645,-0.524236,-0.616255,-0.611886,0.025864,-0.764255,0.439617,-0.500337,-0.244149,Home
-1.417471,2.393803,-1.608416,-1.143239,-0.01451,-0.95358,-0.636798,-0.692773,-0.487887,-0.771631,-0.632404,-0.519267,-0.203947,-0.931168,-0.6637,-0.651821,0.083432,-1.153448,-0.358571,-0.65879,0.82324,-1.107397,-0.002371,0.163651,0.259149,-0.874651,-1.634561,-0.904817,-0.775107,-1.163604,-0.677762,-0.023665,-0.003224,0.63667,-0.698906,-1.0374,-0.485029,-0.997447,-0.616255,-0.611886,1.678282,-0.764255,1.568098,1.443539,-0.244149,Away
-0.061322,1.284668,-0.57392,-1.143239,-0.283653,-0.488912,-0.636798,-0.692773,-0.114835,-0.771631,-0.632404,-0.519267,-0.203947,-0.931168,0.054095,-0.651821,0.083432,-1.153448,-1.727011,-0.65879,-0.595076,0.106237,1.360849,-1.039445,-0.914165,-1.226346,0.16355,0.365993,1.194467,0.621779,0.604189,-0.779617,1.850734,-0.434799,0.170631,0.994847,0.594274,0.422187,1.867483,-0.611886,-0.30462,-0.764255,-0.688864,-0.500337,-0.244149,Away
0.390728,1.284668,-0.918752,0.377026,-0.07432,-0.024244,-0.636798,-0.692773,1.750425,-0.771631,-0.632404,-0.519267,-0.203947,-0.129038,0.29336,0.447291,1.062485,0.308705,-0.814718,-0.65879,-0.240497,1.319871,-1.024785,-0.266026,1.432463,-0.874651,0.343361,0.620155,1.475835,0.621779,-0.677762,-0.779617,1.850734,-0.791955,0.460477,0.344528,0.090599,-0.997447,-0.616255,-0.611886,-0.30462,-0.764255,-0.688864,-0.500337,-0.244149,Away
-0.965421,2.393803,-0.229088,-0.839186,0.882632,0.440425,1.106815,0.745293,-0.487887,0.454026,-0.632404,-0.519267,-0.203947,0.472559,0.532624,0.722069,-0.895621,-0.568587,0.097576,-0.65879,2.950713,-1.107397,-2.0472,1.839391,-0.914165,1.587216,-0.735505,-0.650655,-0.775107,0.621779,-0.677762,-0.779617,-0.003224,-0.791955,0.315554,-0.305791,-1.204565,-0.997447,-0.616255,-0.611886,-0.30462,0.307566,3.825059,3.387414,-0.244149,Home
-0.287346,-0.933602,-1.263584,-0.535133,0.045299,0.905093,1.106815,0.745293,-1.607044,1.679683,1.500337,1.471257,-0.203947,1.074156,1.011154,0.447291,0.083432,-0.568587,0.097576,2.266341,0.468661,-0.702853,1.020044,0.249586,-0.914165,1.587216,-0.016261,-0.142331,0.350364,0.621779,-0.677762,0.354312,-0.003224,0.279513,-0.409061,0.507107,0.306459,0.895398,-0.616255,-0.611886,-0.30462,-0.764255,-0.688864,1.443539,-0.244149,Away
1.746878,-0.933602,-0.229088,1.289185,0.583584,-0.488912,-0.636798,-0.692773,0.631269,-0.771631,-0.632404,1.471257,-0.203947,2.477882,2.686008,1.546403,2.041538,1.185997,0.097576,2.266341,-0.949655,0.915327,2.042458,1.151908,-0.914165,0.707978,1.602038,1.128479,0.631732,0.175433,-0.677762,1.866217,0.923755,-0.791955,0.025708,1.035491,1.529669,-0.524236,0.211658,0.812545,0.356347,1.379386,-0.688864,-0.500337,-0.244149,Home
-0.513371,1.284668,-0.746336,0.072973,0.463965,0.905093,0.235009,0.745293,1.004321,0.454026,-0.632404,1.471257,-0.203947,1.475221,1.011154,0.447291,-0.895621,0.016274,1.466016,0.803775,0.114082,1.319871,-0.343176,1.66752,0.259149,2.466454,-0.196072,0.111831,0.913099,0.621779,-0.677762,-1.53557,-0.003224,1.350982,-0.409061,0.263238,-0.125262,1.368609,-0.616255,-0.611886,2.339249,-0.764255,-0.688864,-0.500337,-0.244149,Away
0.616753,0.175533,-0.57392,-1.447292,-0.193939,-0.488912,-0.636798,-0.692773,0.631269,0.454026,-0.632404,-0.519267,-0.203947,-0.329571,-0.424435,-0.926599,-0.895621,-0.861018,0.097576,0.803775,0.114082,0.510782,-0.002371,0.120683,1.432463,1.411368,0.702983,0.620155,1.757202,1.068125,-0.677762,-0.779617,0.923755,0.63667,0.025708,1.238716,1.025995,0.422187,1.03957,-0.611886,0.356347,-0.764255,-0.688864,-0.500337,-0.244149,Away
0.164703,0.175533,1.667487,-0.23108,0.105109,-0.95358,-0.636798,0.745293,0.258217,0.454026,-0.632404,1.471257,-0.203947,-0.329571,-0.18517,-0.377043,0.083432,-0.276156,-0.358571,-0.65879,1.532397,0.510782,-1.706395,-0.437897,0.259149,0.004587,0.702983,0.874317,0.068996,1.068125,-0.677762,-0.779617,-0.930203,-0.434799,0.025708,0.019368,-0.197215,-0.524236,-0.616255,0.812545,0.356347,-0.764255,-0.688864,-0.500337,-0.244149,Away
2.424953,-0.933602,-0.229088,-0.23108,-0.313558,-0.95358,-0.636798,-0.692773,0.258217,0.454026,0.433967,-0.519267,-0.203947,-0.530103,0.054095,0.172513,1.062485,-0.276156,-1.270865,-0.65879,0.82324,-0.702853,-0.343176,-1.211316,1.432463,-0.874651,1.78185,2.399289,2.882673,-0.270912,0.604189,-0.401641,3.704692,0.993826,-0.119215,1.116781,0.738181,0.895398,2.695396,-0.611886,0.025864,1.379386,0.439617,1.443539,-0.244149,Away
0.390728,-0.933602,1.839903,0.377026,0.284537,-0.95358,-0.636798,-0.692773,-0.487887,-0.771631,-0.632404,-0.519267,-0.203947,-0.129038,0.054095,0.722069,0.083432,0.308705,-0.814718,0.803775,2.241555,-1.511942,-1.706395,0.335522,0.259149,0.004587,0.523172,0.365993,0.068996,0.621779,-0.677762,-0.401641,-0.930203,-1.149111,0.605399,0.385173,0.162552,0.422187,1.03957,-0.611886,-1.626554,-0.764255,0.439617,-0.500337,-0.244149,Home
-0.513371,1.284668,-0.746336,0.377026,0.463965,0.440425,0.235009,-0.692773,-1.607044,-0.771631,-0.632404,-0.519267,-0.203947,0.472559,0.532624,0.172513,0.083432,0.308705,0.097576,0.803775,2.596134,-1.107397,-1.024785,1.280811,-0.914165,-0.347108,-0.555694,-0.650655,-0.493739,0.175433,-0.677762,0.354312,0.923755,0.993826,-0.553983,-0.021277,-0.053308,1.84182,1.867483,-0.611886,1.017315,0.307566,0.439617,-0.500337,-0.244149,Home
3.103027,0.175533,1.322655,0.681079,0.164918,-0.95358,-0.636798,0.745293,-0.487887,-0.771631,-0.632404,-0.519267,-0.203947,0.472559,0.054095,-0.377043,1.062485,0.601136,0.553723,2.266341,1.177818,-0.702853,-0.002371,0.636296,0.259149,1.235521,3.220338,3.415937,5.414982,1.51447,1.886139,-0.401641,4.631672,-0.434799,0.315554,2.661289,2.824833,1.368609,3.523308,3.661407,-0.30462,-0.764255,-0.688864,-0.500337,-0.244149,Away
0.390728,-0.933602,0.28816,2.505397,0.822822,2.763766,3.722233,-0.692773,-0.860939,0.454026,-0.632404,-0.519267,-0.203947,2.27735,2.686008,3.19507,1.062485,2.063289,0.553723,-0.65879,-0.240497,-0.298308,0.338434,2.097197,-0.914165,2.290606,0.16355,0.111831,0.913099,-0.270912,-0.677762,-0.401641,-0.930203,0.993826,-0.119215,-0.346436,0.450367,-0.997447,-0.616255,0.812545,0.356347,0.307566,-0.688864,-0.500337,-0.244149,Home
-2.095546,1.284668,-1.608416,-1.143239,-0.433177,-0.95358,-0.636798,2.18336,-0.114835,-0.771631,-0.632404,-0.519267,-0.203947,-0.931168,-1.14223,-0.926599,-0.895621,-1.153448,-0.358571,-0.65879,1.886976,-0.702853,-1.706395,-1.12538,-0.914165,0.707978,-1.814372,-1.921465,-1.337842,-0.270912,-0.677762,1.110265,-0.930203,-0.434799,-0.553983,-1.362559,-1.348472,-0.997447,-0.616255,-0.611886,0.025864,-0.764255,-0.688864,-0.500337,-0.244149,Home
-0.739396,1.284668,-0.918752,1.289185,0.314442,0.905093,2.850427,-0.692773,1.750425,0.454026,-0.632404,-0.519267,-0.203947,1.876285,0.532624,2.095958,1.062485,3.525442,2.37831,0.803775,-0.949655,0.510782,-1.36559,1.753456,1.432463,-0.17126,-1.274939,-0.650655,-0.775107,-1.163604,-0.677762,-0.023665,-0.003224,-0.077643,-0.119215,-0.79353,0.018645,-0.997447,-0.616255,-0.611886,0.025864,-0.764255,-0.688864,-0.500337,-0.244149,Home
-0.287346,-0.933602,0.115744,-0.839186,0.164918,-0.488912,-0.636798,2.18336,-0.860939,0.454026,0.433967,3.46178,-0.203947,-0.129038,0.054095,-0.926599,0.083432,-0.861018,0.097576,-0.65879,1.532397,-0.298308,-0.002371,0.421457,-0.914165,0.53213,-0.196072,0.111831,-0.212371,0.175433,-0.677762,1.110265,-0.003224,-1.863423,0.025708,0.507107,0.378413,0.895398,1.03957,-0.611886,-1.29607,-0.764255,-0.688864,-0.500337,-0.244149,Away
-0.287346,-0.933602,0.805407,0.681079,-0.134129,1.369761,1.978621,0.745293,-0.114835,1.679683,-0.632404,1.471257,-0.203947,0.272026,0.29336,0.447291,0.083432,0.893566,0.097576,-0.65879,0.468661,0.915327,-1.36559,-0.094155,-0.914165,0.004587,0.523172,-0.650655,0.631732,1.960816,0.604189,-0.779617,-0.930203,1.708138,-0.264138,0.588397,-0.125262,2.315031,1.867483,0.812545,1.017315,1.379386,0.439617,-0.500337,-0.244149,Home
0.390728,0.175533,0.977823,-0.839186,0.763013,-0.95358,-0.636798,0.745293,-1.980096,0.454026,-0.632404,-0.519267,-0.203947,-0.129038,0.054095,-0.377043,0.083432,-0.861018,-0.358571,-0.65879,1.886976,-1.511942,-0.002371,0.808166,0.259149,0.356283,0.343361,0.620155,0.350364,0.621779,-0.677762,0.732288,-0.003224,-1.149111,0.025708,1.035491,1.025995,-0.997447,-0.616255,-0.611886,-0.635103,-0.764255,-0.688864,-0.500337,3.65545,Away
0.842778,-0.933602,-1.780832,0.377026,0.314442,-0.488912,0.235009,0.745293,1.377373,1.679683,0.433967,-0.519267,-0.203947,1.074156,2.207478,1.82118,1.062485,0.308705,-1.270865,-0.65879,0.82324,0.915327,-0.683981,0.120683,2.605777,0.53213,0.16355,-0.396493,0.068996,-0.717258,-0.677762,-1.53557,0.923755,-1.149111,1.764782,0.466462,0.738181,-0.051025,1.03957,-0.611886,-1.626554,0.307566,-0.688864,-0.500337,-0.244149,Home
0.842778,0.175533,0.632991,-0.535133,0.135013,0.905093,1.106815,0.745293,-0.860939,1.679683,-0.632404,-0.519267,-0.203947,0.272026,0.29336,-0.102265,-0.895621,-0.276156,0.097576,-0.65879,0.82324,-0.702853,0.338434,0.163651,0.259149,0.883825,1.602038,1.382641,2.319938,0.621779,3.16809,-1.157594,0.923755,-0.791955,0.460477,2.09226,2.321158,0.422187,1.03957,-0.611886,-0.965587,0.307566,-0.688864,1.443539,-0.244149,Away
1.972903,0.175533,0.805407,0.681079,0.434061,-0.024244,-0.636798,-0.692773,-0.114835,-0.771631,-0.632404,-0.519267,-0.203947,1.074156,0.054095,-0.102265,1.062485,0.601136,1.922163,2.266341,0.114082,-0.702853,0.679239,1.882359,0.259149,1.235521,1.602038,2.145127,0.068996,-0.270912,0.604189,-0.023665,-0.003224,0.279513,-0.119215,1.035491,1.74553,-0.051025,1.03957,-0.611886,-0.30462,2.451207,0.439617,1.443539,-0.244149,Away
0.164703,-0.933602,-1.263584,0.681079,0.194823,3.228434,0.235009,-0.692773,1.004321,-0.771631,-0.632404,-0.519267,-0.203947,0.472559,0.771889,0.996847,-0.895621,0.016274,-0.358571,-0.65879,0.82324,0.106237,-1.024785,0.507393,0.259149,0.180435,0.16355,0.365993,0.913099,-0.717258,0.604189,0.732288,1.850734,-1.506267,0.170631,0.344528,0.52232,1.84182,1.867483,-0.611886,-1.626554,-0.764255,0.439617,-0.500337,-0.244149,Away
0.390728,1.284668,-0.056672,-0.839186,0.015394,0.440425,0.235009,0.745293,0.631269,1.679683,0.433967,-0.519267,-0.203947,0.272026,-0.902965,-1.201377,0.083432,-0.861018,0.553723,-0.65879,-1.658812,0.106237,2.042458,0.421457,0.259149,-0.347108,-0.375883,-0.142331,-1.056475,-1.163604,-0.677762,-0.779617,-0.930203,0.993826,0.170631,0.547752,1.385762,-0.051025,-0.616255,-0.611886,0.025864,-0.764255,-0.688864,1.443539,-0.244149,Home
-0.739396,-0.933602,-0.57392,0.985132,-0.07432,-0.488912,-0.636798,-0.692773,0.258217,-0.771631,-0.632404,1.471257,-0.203947,-0.129038,-0.18517,0.722069,2.041538,0.893566,0.097576,-0.65879,-1.304233,0.106237,-0.002371,-0.137123,1.432463,-0.522955,-0.735505,-0.396493,-0.775107,-0.717258,-0.677762,1.110265,-0.003224,-0.077643,-0.698906,-0.427726,-0.125262,-0.997447,-0.616255,-0.611886,0.686831,-0.764255,-0.688864,-0.500337,-0.244149,Home
0.390728,0.175533,0.28816,0.681079,0.344347,-0.488912,-0.636798,-0.692773,-0.487887,0.454026,0.433967,-0.519267,-0.203947,-0.129038,0.054095,0.447291,2.041538,0.893566,-0.358571,-0.65879,0.468661,0.106237,-1.024785,0.679263,-0.914165,-0.698803,0.16355,0.874317,0.350364,-0.270912,0.604189,-0.401641,-0.003224,0.279513,-0.264138,0.669687,0.882088,0.422187,0.211658,0.812545,0.686831,2.451207,0.439617,-0.500337,-0.244149,Home
0.616753,-0.933602,0.632991,-1.143239,-0.941557,-0.488912,-0.636798,-0.692773,-0.114835,-0.771631,0.433967,1.471257,-0.203947,-1.733297,-1.620759,-1.750933,-0.895621,-1.153448,-0.358571,-0.65879,-0.595076,-0.298308,0.679239,-1.855831,2.605777,-1.753889,0.16355,0.365993,0.350364,-0.270912,-0.677762,-1.157594,-0.003224,1.350982,0.025708,0.222593,0.810134,-0.051025,1.03957,0.812545,1.347798,0.307566,-0.688864,-0.500337,-0.244149,Away
0.842778,0.175533,2.529567,1.897291,0.882632,1.834429,0.235009,0.745293,-1.233992,-0.771631,-0.632404,-0.519267,-0.203947,1.475221,2.207478,2.645514,0.083432,1.770858,-0.814718,0.803775,0.468661,-0.702853,-0.002371,1.66752,-0.914165,0.707978,0.882794,1.128479,0.350364,1.068125,-0.677762,-1.157594,-0.930203,-0.791955,0.605399,0.629042,0.738181,-0.051025,1.03957,3.661407,-0.30462,-0.764255,-0.688864,-0.500337,-0.244149,Home
0.390728,0.175533,1.150239,0.681079,-0.492986,0.905093,0.235009,-0.692773,-0.114835,-0.771631,-0.632404,-0.519267,-0.203947,0.272026,-0.6637,0.722069,1.062485,0.601136,1.466016,-0.65879,-2.013391,-1.107397,1.020044,-0.051188,1.432463,0.004587,-0.016261,0.620155,-0.493739,-0.270912,-0.677762,-1.157594,-0.930203,-0.077643,0.315554,0.141303,-0.197215,0.422187,-0.616255,-0.611886,-0.635103,-0.764255,0.439617,1.443539,-0.244149,Home
-0.061322,-0.933602,1.150239,-0.839186,-0.104225,-0.95358,-0.636798,0.745293,0.258217,-0.771631,-0.632404,-0.519267,-0.203947,-0.129038,-0.424435,-1.201377,-0.895621,-1.153448,0.553723,0.803775,0.468661,0.915327,-0.343176,-0.00822,-0.914165,0.53213,0.702983,-0.142331,0.631732,0.621779,1.886139,-0.401641,-0.003224,-0.077643,0.170631,0.588397,0.52232,-0.997447,-0.616255,-0.611886,-0.30462,0.307566,-0.688864,-0.500337,-0.244149,Away
-0.965421,0.175533,-0.746336,-0.535133,-0.193939,1.369761,1.106815,2.18336,0.631269,-0.771631,-0.632404,-0.519267,4.894718,-0.329571,-0.902965,-0.102265,-0.895621,-0.861018,1.009869,-0.65879,-1.304233,0.106237,-0.002371,-0.051188,0.259149,0.53213,-1.45475,-1.158979,-1.337842,-1.163604,-0.677762,2.244194,-0.930203,-0.434799,-0.698906,-0.305791,0.162552,0.422187,-0.616255,-0.611886,0.025864,-0.764255,1.568098,-0.500337,-0.244149,Home
-0.287346,-0.933602,-0.57392,-0.839186,-0.223843,0.440425,-0.636798,-0.692773,-0.114835,-0.771631,-0.632404,-0.519267,-0.203947,-1.1317,-1.381494,-1.201377,0.083432,-0.861018,0.553723,-0.65879,0.468661,-0.298308,-0.683981,-0.824606,-0.914165,0.004587,-0.735505,-0.904817,-1.056475,-0.717258,-0.677762,-0.401641,-0.003224,-0.077643,0.460477,-0.509016,-0.341122,-0.051025,-0.616255,0.812545,-0.30462,0.307566,2.696578,-0.500337,-0.244149,Home
-0.061322,0.175533,-0.229088,-0.535133,-0.672414,-0.95358,-0.636798,-0.692773,1.750425,-0.771631,-0.632404,-0.519267,-0.203947,-1.933829,-1.14223,-0.926599,1.062485,-0.568587,-1.727011,-0.65879,-0.949655,1.724416,-1.024785,-1.812863,0.259149,-1.929736,-0.735505,-0.142331,-0.775107,-1.163604,-0.677762,-0.023665,-0.930203,-0.077643,0.025708,-1.0374,-0.341122,-0.997447,-0.616255,-0.611886,0.025864,-0.764255,0.439617,-0.500337,-0.244149,Home
-1.643496,0.175533,-0.918752,0.377026,-0.044415,-0.95358,-0.636798,-0.692773,0.631269,-0.771631,0.433967,-0.519267,-0.203947,-0.329571,-0.18517,-0.102265,1.062485,0.308705,0.097576,-0.65879,0.468661,1.724416,-2.0472,0.034748,-0.914165,-0.698803,-1.45475,-1.667303,-1.337842,-0.270912,0.604189,1.110265,-0.930203,0.63667,-0.843829,-0.915465,-1.060658,-0.524236,-0.616255,-0.611886,0.686831,-0.764255,-0.688864,-0.500337,-0.244149,Home
0.164703,-0.933602,0.115744,0.985132,0.49387,3.228434,1.106815,-0.692773,-1.980096,1.679683,-0.632404,-0.519267,-0.203947,1.675753,1.728949,2.095958,-0.895621,1.185997,-0.814718,2.266341,1.177818,-1.107397,-0.002371,0.464425,-0.914165,2.818149,0.16355,0.111831,0.350364,-0.270912,0.604189,-1.157594,1.850734,-0.434799,0.605399,0.222593,0.162552,0.422187,0.211658,-0.611886,-0.635103,-0.764255,-0.688864,-0.500337,-0.244149,Home
-0.739396,2.393803,-0.056672,-0.839186,-0.64251,-0.95358,-0.636798,-0.692773,0.258217,0.454026,-0.632404,1.471257,-0.203947,-1.332232,-1.620759,-1.201377,0.083432,-0.861018,0.097576,-0.65879,0.468661,-0.702853,-0.683981,-0.910542,-0.914165,-1.226346,-0.555694,-0.396493,-1.056475,0.621779,-0.677762,-1.913547,-0.930203,2.779606,-0.698906,-0.265146,-0.485029,-0.524236,-0.616255,0.812545,2.669732,0.307566,0.439617,-0.500337,-0.244149,Home
-0.061322,0.175533,0.28816,0.377026,-0.313558,-0.024244,-0.636798,-0.692773,-0.487887,0.454026,-0.632404,-0.519267,-0.203947,0.071494,0.532624,1.271625,-0.895621,0.601136,-0.814718,-0.65879,-1.304233,-0.702853,1.020044,-0.652735,1.432463,0.356283,-0.375883,0.111831,-0.212371,-0.270912,-0.677762,0.354312,-0.003224,0.279513,-0.409061,0.303883,0.666227,-0.997447,-0.616255,-0.611886,0.686831,-0.764255,-0.688864,-0.500337,-0.244149,Home
0.616753,0.175533,-0.229088,1.593238,0.523775,1.834429,1.978621,0.745293,1.004321,2.90534,0.433967,-0.519267,4.894718,0.472559,0.29336,1.82118,0.083432,1.770858,0.097576,-0.65879,-0.240497,-0.298308,-1.36559,1.151908,1.432463,-0.698803,0.16355,0.111831,0.350364,-0.270912,-0.677762,-1.157594,1.850734,1.708138,0.025708,-0.509016,-0.772843,-0.524236,0.211658,-0.611886,0.356347,1.379386,0.439617,1.443539,-0.244149,Home
0.164703,0.175533,0.805407,0.072973,0.49387,-0.024244,-0.636798,-0.692773,-1.233992,0.454026,-0.632404,-0.519267,-0.203947,0.873624,1.250419,0.722069,-0.895621,0.016274,0.097576,-0.65879,0.468661,-0.702853,1.020044,0.378489,0.259149,0.707978,1.242416,0.620155,1.757202,2.407162,-0.677762,-0.401641,2.777713,-2.220579,0.750322,0.750977,-0.125262,0.895398,0.211658,-0.611886,-1.626554,-0.764255,-0.688864,-0.500337,-0.244149,Away
-0.739396,-0.933602,-1.608416,0.072973,-0.612605,-0.488912,-0.636798,0.745293,-0.860939,-0.771631,-0.632404,-0.519267,-0.203947,-0.730635,-0.424435,-0.102265,0.083432,0.016274,-0.358571,-0.65879,0.114082,-1.107397,0.338434,-0.824606,0.259149,-0.347108,-0.915317,-0.396493,-1.056475,-0.270912,-0.677762,-1.157594,-0.003224,-0.434799,0.315554,-1.11869,-1.060658,-0.997447,-0.616255,-0.611886,0.356347,-0.764255,0.439617,-0.500337,-0.244149,Home
0.164703,1.284668,0.805407,-1.143239,-0.104225,0.440425,-0.636798,-0.692773,1.750425,-0.771631,0.433967,-0.519267,-0.203947,-0.329571,0.532624,0.172513,-0.895621,-1.445879,-1.270865,-0.65879,-0.240497,2.128961,-1.024785,-0.523832,-0.914165,0.180435,0.343361,0.365993,0.068996,-0.717258,4.45004,-0.401641,-0.930203,1.350982,-0.553983,0.141303,0.450367,0.422187,0.211658,-0.611886,1.017315,0.307566,0.439617,1.443539,-0.244149,Away
0.616753,-0.933602,0.632991,0.072973,0.045299,1.369761,0.235009,0.745293,0.258217,-0.771631,-0.632404,-0.519267,-0.203947,0.673091,0.29336,0.172513,-0.895621,0.016274,1.009869,-0.65879,0.468661,0.915327,-1.024785,0.636296,0.259149,0.356283,1.602038,0.365993,1.757202,1.960816,0.604189,1.110265,1.850734,0.279513,-0.264138,1.523231,0.954041,2.315031,3.523308,3.661407,-1.29607,1.379386,0.439617,-0.500337,-0.244149,Away
-0.287346,2.393803,-0.401504,0.681079,0.194823,-0.024244,1.106815,0.745293,-1.980096,-0.771631,-0.632404,-0.519267,4.894718,0.071494,-0.424435,0.172513,0.083432,0.601136,1.009869,0.803775,0.114082,-1.916487,0.679239,0.765199,0.259149,-0.17126,-0.555694,0.365993,-0.212371,-0.717258,0.604189,-1.53557,-0.003224,0.279513,0.025708,-1.159335,-0.91675,-0.051025,-0.616255,-0.611886,1.347798,-0.764255,1.568098,-0.500337,-0.244149,Home
0.390728,0.175533,1.495071,0.985132,0.164918,-0.024244,1.106815,0.745293,1.004321,0.454026,-0.632404,1.471257,-0.203947,0.272026,0.29336,0.996847,0.083432,0.601136,0.097576,0.803775,0.82324,0.106237,-1.706395,0.507393,0.259149,-0.347108,-0.196072,0.874317,-0.775107,-0.717258,-0.677762,-1.157594,-0.930203,-2.577735,1.185091,-0.183856,-0.269169,0.895398,-0.616255,-0.611886,-1.626554,-0.764255,-0.688864,-0.500337,-0.244149,Home
